iter	Passed	Remaining
411	2868	4094
412	2873	4084
413	2879	4076
414	2885	4067
415	2891	4059
416	2902	4058
417	2920	4066
418	2931	4064
419	2939	4059
420	2946	4051
421	2956	4049
422	2962	4040
423	2966	4030
424	2972	4021
425	2977	4011
426	2982	4002
427	2988	3993
428	2993	3984
429	2999	3976
430	3005	3968
431	3010	3958
432	3015	3948
433	3023	3942
434	3029	3935
435	3035	3927
436	3040	3917
437	3045	3907
438	3051	3900
439	3065	3900
440	3072	3894
441	3078	3885
442	3083	3877
443	3089	3868
444	3094	3859
445	3103	3855
446	3114	3853
447	3126	3852
448	3142	3856
449	3155	3857
450	3166	3854
451	3175	3850
452	3180	3840
453	3186	3832
454	3192	3823
455	3198	3816
456	3205	3808
457	3211	3800
458	3218	3793
459	3223	3783
460	3229	3775
461	3234	3766
462	3239	3757
463	3247	3751
464	3257	3747
465	3264	3740
466	3270	3732
467	3276	3724
468	3281	3715
469	3287	3706
470	3293	3699
471	3299	3691
472	3306	3683
473	3311	3675
474	3317	3666
475	3324	3659
476	3329	3650
477	3334	3641
478	3340	3633
479	3346	3625
480	3352	3617
481	3358	3609
482	3363	3600
483	3369	3592
484	3375	3584
485	3381	3576
486	3386	3567
487	3393	3560
488	3398	3551
489	3404	3543
490	3410	3535
491	3415	3526
492	3422	3519
493	3428	3511
494	3433	3502
495	3438	3493
496	3443	3485
497	3448	3476
498	3454	3468
499	3460	3460
500	3465	3451
501	3470	3443
502	3475	3434
503	3480	3425
504	3485	3416
505	3491	3408
506	3496	3399
507	3501	3391
508	3506	3382
509	3511	3374
510	3516	3365
511	3522	3357
512	3527	3348
513	3532	3340
514	3537	3331
515	3547	3327
516	3552	3318
517	3558	3311
518	3563	3302
519	3568	3293
520	3573	3285
521	3578	3276
522	3583	3268
523	3589	3260
524	3594	3252
525	3599	3243
526	3605	3235
527	3610	3227
528	3615	3218
529	3620	3210
530	3625	3202
531	3630	3193
532	3636	3186
533	3641	3177
534	3646	3169
535	3651	3161
536	3656	3152
537	3661	3144
538	3666	3136
539	3671	3127
540	3677	3120
541	3683	3112
542	3689	3104
543	3694	3096
544	3699	3088
545	3704	3080
546	3710	3072
547	3716	3065
548	3720	3056
549	3726	3048
550	3732	3041
551	3737	3033
552	3743	3026
553	3749	3018
554	3754	3010
555	3760	3003
556	3766	2995
557	3771	2987
558	3777	2979
559	3781	2971
560	3787	2963
561	3791	2955
562	3798	2948
563	3803	2940
564	3808	2932
565	3813	2924
566	3819	2916
567	3825	2909
568	3832	2902
569	3838	2895
570	3843	2887
571	3849	2880
572	3855	2873
573	3861	2865
574	3867	2858
575	3872	2850
576	3878	2843
577	3883	2835
578	3888	2827
579	3894	2819
580	3899	2811
581	3903	2803
582	3909	2796
583	3915	2789
584	3920	2781
585	3926	2773
586	3932	2767
587	3938	2759
588	3944	2752
589	3950	2745
590	3958	2739
591	3965	2732
592	3971	2725
593	3976	2718
594	3982	2710
595	3988	2703
596	3993	2696
597	4002	2690
598	4007	2683
599	4014	2676
600	4020	2668
601	4025	2661
602	4032	2655
603	4038	2647
604	4043	2639
605	4048	2632
606	4053	2624
607	4059	2617
608	4064	2609
609	4070	2602
610	4075	2594
611	4080	2587
612	4086	2579
613	4091	2572
614	4096	2564
615	4101	2557
616	4106	2549
617	4112	2541
618	4117	2534
619	4125	2528
620	4130	2520
621	4135	2513
622	4143	2507
623	4148	2499
624	4152	2491
625	4156	2483
626	4160	2475
627	4164	2467
628	4168	2458
629	4173	2450
630	4177	2442
631	4181	2435
632	4185	2426
633	4189	2418
634	4194	2410
635	4198	2402
636	4202	2394
637	4206	2386
638	4210	2378
639	4214	2370
640	4218	2362
641	4222	2354
642	4227	2347
643	4231	2339
644	4235	2331
645	4239	2323
646	4244	2315
647	4248	2307
648	4252	2299
649	4256	2291
650	4260	2283
651	4264	2276
652	4268	2268
653	4272	2260
654	4276	2252
655	4283	2246
656	4288	2238
657	4292	2230
658	4296	2223
659	4300	2215
660	4304	2207
661	4308	2200
662	4313	2192
663	4317	2184
664	4321	2177
665	4325	2169
666	4330	2161
667	4334	2154
668	4338	2146
669	4343	2139
670	4347	2131
671	4351	2123
672	4355	2116
673	4359	2108
674	4363	2101
675	4367	2093
676	4372	2086
677	4376	2078
678	4380	2070
679	4384	2063
680	4388	2055
681	4393	2048
682	4398	2041
683	4402	2033
684	4406	2026
685	4410	2018
686	4414	2011
687	4418	2003
688	4423	1996
689	4427	1989
690	4431	1981
691	4435	1974
692	4439	1966
693	4443	1959
694	4447	1951
695	4451	1944
696	4455	1937
697	4459	1929
698	4464	1922
699	4468	1914
700	4472	1907
701	4476	1900
702	4480	1892
703	4484	1885
704	4488	1878
705	4492	1870
706	4497	1863
707	4501	1856
708	4505	1849
709	4509	1841
710	4513	1834
711	4517	1827
712	4521	1820
713	4525	1812
714	4529	1805
715	4534	1798
716	4538	1791
717	4542	1784
718	4546	1776
719	4550	1769
720	4554	1762
721	4558	1755
722	4563	1748
723	4567	1741
724	4571	1734
725	4575	1727
726	4580	1719
727	4584	1712
728	4588	1705
729	4592	1698
730	4596	1691
731	4600	1684
732	4604	1677
733	4609	1670
734	4613	1663
735	4618	1656
736	4622	1649
737	4626	1642
738	4630	1635
739	4634	1628
740	4638	1621
741	4642	1614
742	4647	1607
743	4651	1600
744	4655	1593
745	4659	1586
746	4663	1579
747	4667	1572
748	4672	1565
749	4676	1558
750	4680	1551
751	4684	1544
752	4688	1537
753	4692	1530
754	4696	1524
755	4700	1517
756	4704	1510
757	4708	1503
758	4712	1496
759	4717	1489
760	4721	1482
761	4725	1475
762	4729	1468
763	4733	1462
764	4737	1455
765	4741	1448
766	4745	1441
767	4749	1434
768	4754	1428
769	4758	1421
770	4762	1414
771	4766	1407
772	4771	1401
773	4775	1394
774	4779	1387
775	4783	1380
776	4788	1374
777	4792	1367
778	4796	1360
779	4800	1353
780	4804	1347
781	4808	1340
782	4813	1333
783	4818	1327
784	4823	1320
785	4827	1314
786	4831	1307
787	4835	1300
788	4839	1294
789	4843	1287
790	4848	1281
791	4854	1274
792	4860	1268
793	4865	1262
794	4869	1255
795	4873	1249
796	4878	1242
797	4882	1235
798	4886	1229
799	4891	1222
800	4895	1216
801	4899	1209
802	4903	1203
803	4908	1196
804	4913	1190
805	4917	1183
806	4922	1177
807	4926	1170
808	4930	1164
809	4934	1157
810	4938	1150
811	4944	1144
812	4948	1138
813	4954	1132
814	4960	1126
815	4966	1119
816	4971	1113
817	4977	1107
818	4983	1101
819	4990	1095
820	4995	1089
821	5002	1083
822	5007	1076
823	5012	1070
824	5016	1064
825	5021	1057
826	5025	1051
827	5030	1044
828	5034	1038
829	5040	1032
830	5046	1026
831	5051	1020
832	5056	1013
833	5061	1007
834	5066	1001
835	5070	994
836	5075	988
837	5079	982
838	5084	975
839	5089	969
840	5094	963
841	5099	956
842	5103	950
843	5107	944
844	5111	937
845	5115	931
846	5119	924
847	5124	918
848	5128	912
849	5132	905
850	5137	899
851	5141	893
852	5146	886
853	5150	880
854	5154	874
855	5158	867
856	5162	861
857	5167	855
858	5171	848
859	5175	842
860	5180	836
861	5186	830
862	5191	824
863	5196	817
864	5201	811
865	5206	805
866	5211	799
867	5216	793
868	5221	787
869	5226	780
870	5232	774
871	5237	768
872	5241	762
873	5247	756
874	5251	750
875	5255	743
876	5259	737
877	5263	731
878	5267	725
879	5272	718
880	5276	712
881	5281	706
882	5285	700
883	5289	694
884	5294	687
885	5298	681
886	5302	675
887	5306	669
888	5310	663
889	5315	656
890	5319	650
891	5323	644
892	5327	638
893	5332	632
894	5336	626
895	5340	619
896	5344	613
897	5348	607
898	5352	601
899	5357	595
900	5361	589
901	5365	582
902	5369	576
903	5373	570
904	5378	564
905	5382	558
906	5386	552
907	5390	546
908	5394	540
909	5398	533
910	5402	527
911	5407	521
912	5411	515
913	5415	509
914	5419	503
915	5423	497
916	5427	491
917	5431	485
918	5435	479
919	5440	473
920	5444	466
921	5447	460
922	5452	454
923	5455	448
924	5460	442
925	5464	436
926	5468	430
927	5472	424
928	5477	418
929	5481	412
930	5485	406
931	5489	400
932	5493	394
933	5497	388
934	5501	382
935	5505	376
936	5509	370
937	5514	364
938	5518	358
939	5522	352
940	5526	346
941	5530	340
942	5534	334
943	5538	328
944	5542	322
945	5547	316
946	5551	310
947	5555	304
948	5559	298
949	5563	292
950	5567	286
951	5571	280
952	5576	275
953	5580	269
954	5584	263
955	5588	257
956	5592	251
957	5596	245
958	5600	239
959	5605	233
960	5609	227
961	5613	221
962	5618	215
963	5623	209
964	5627	204
965	5631	198
966	5635	192
967	5639	186
968	5643	180
969	5647	174
970	5651	168
971	5656	162
972	5660	157
973	5664	151
974	5668	145
975	5672	139
976	5677	133
977	5681	127
978	5685	121
979	5689	116
980	5693	110
981	5697	104
982	5701	98
983	5705	92
984	5709	86
985	5714	81
986	5717	75
987	5721	69
988	5725	63
989	5729	57
990	5733	52
991	5738	46
992	5742	40
993	5746	34
994	5750	28
995	5754	23
996	5759	17
997	5763	11
998	5767	5
999	5771	0
