iter	MultiClass
187	0.4427412991
188	0.4417817433
189	0.4407138419
190	0.4397634908
191	0.4390645349
192	0.4385502896
193	0.4379351876
194	0.4373740578
195	0.4367022696
196	0.4360272867
197	0.4355565219
198	0.4347236193
199	0.4338062129
200	0.4333550237
201	0.4321523298
202	0.4318732809
203	0.4316762164
204	0.4311277983
205	0.4301723488
206	0.4292367163
207	0.4288734
208	0.427948263
209	0.4270726774
210	0.425551155
211	0.424579702
212	0.4236048749
213	0.4227452975
214	0.4222058122
215	0.4214026209
216	0.4211257726
217	0.4205520149
218	0.4197649834
219	0.4190793202
220	0.4187134277
221	0.4180066125
222	0.4170662395
223	0.4166774003
224	0.41597193
225	0.4147200349
226	0.4142616765
227	0.4139632491
228	0.4133511742
229	0.4126658087
230	0.4116591799
231	0.4108089924
232	0.4102132113
233	0.4094968803
234	0.4080186875
235	0.4075251371
236	0.4064609357
237	0.4059452776
238	0.4050860594
239	0.4044068275
240	0.4035872409
241	0.4032239763
242	0.4028141785
243	0.4021211109
244	0.4010010115
245	0.4008241162
246	0.400149141
247	0.3993017917
248	0.3985518964
249	0.3979959968
250	0.3973690839
251	0.3970507025
252	0.3962774019
253	0.3956738161
254	0.3951077677
255	0.3945430978
256	0.3940467541
257	0.3934724356
258	0.3929593309
259	0.3923886983
260	0.391946131
261	0.391067473
262	0.3906737201
263	0.3902585228
264	0.3898623304
265	0.3892750415
266	0.3890429659
267	0.3883374477
268	0.3878846539
269	0.3873848114
270	0.3862791351
271	0.3859943288
272	0.3853083806
273	0.3848648517
274	0.3836657896
275	0.3822424746
276	0.3820024832
277	0.3812243204
278	0.3805976337
279	0.3800485255
280	0.3793552579
281	0.3786872118
282	0.3779962789
283	0.3773981531
284	0.3770132806
285	0.3765408273
286	0.3756637832
287	0.3749774452
288	0.3743877634
289	0.3738284971
290	0.3731606343
291	0.3723100795
292	0.371375178
293	0.3711173556
294	0.3707886582
295	0.3698310785
296	0.3690787588
297	0.368085061
298	0.3676548701
299	0.3666701335
300	0.3658652119
301	0.3649206798
302	0.3638651743
303	0.3631120532
304	0.3624679928
305	0.3621601524
306	0.3616906384
307	0.3612822208
308	0.3606148997
309	0.3600603903
310	0.3596263344
311	0.3592082884
312	0.3584020657
313	0.3581543596
314	0.3577061252
315	0.3570656887
316	0.3568162191
317	0.3564217295
318	0.3559769854
319	0.3558172337
320	0.3552476606
321	0.3547859461
322	0.3541736268
323	0.353356088
324	0.3528359978
325	0.3523003812
326	0.3515161838
327	0.3512082531
328	0.3503417316
329	0.3499055249
330	0.3492506149
331	0.34898917
332	0.3485669094
333	0.3480200486
334	0.3473007782
335	0.3468171231
336	0.3463844324
337	0.345638315
338	0.3444151596
339	0.3441752096
340	0.3438555105
341	0.3431035295
342	0.3426242276
343	0.3420118736
344	0.341470463
345	0.3410261739
346	0.3404187251
347	0.3397008849
348	0.3393540849
349	0.338709828
350	0.3379138761
351	0.337144658
352	0.3367877018
353	0.3362548733
354	0.3357728965
355	0.3353139284
356	0.3347187157
357	0.3342235576
358	0.333852043
359	0.3330916092
360	0.3321235276
361	0.3317014866
362	0.3311595957
363	0.3305404146
364	0.3302520386
365	0.3297556867
366	0.3294671626
367	0.3281513354
368	0.3275198979
369	0.3272002162
370	0.3266941845
371	0.3262392104
372	0.3258336465
373	0.3255832215
374	0.3251055917
375	0.3246565806
376	0.3241754088
377	0.3236731392
378	0.323207931
379	0.322756793
380	0.3223516092
381	0.3220326446
382	0.3213682786
383	0.3210840307
384	0.320921748
385	0.3203546237
386	0.3196209856
387	0.3194321249
388	0.3190771596
389	0.3186805967
390	0.3179829677
391	0.3177767583
392	0.3173245855
393	0.3164001542
394	0.3156410618
395	0.315047124
396	0.3146594509
397	0.3141495337
398	0.3137004012
399	0.3132628112
400	0.3123154334
401	0.3117897795
402	0.3112359519
403	0.3105697814
404	0.3101925808
405	0.309418985
406	0.3089233682
407	0.3086853934
408	0.3082658843
409	0.3078621987
410	0.3074317934
411	0.306879459
412	0.3064455932
413	0.3060777285
414	0.3055275999
415	0.3051448182
416	0.304915844
417	0.304258756
418	0.3037631166
419	0.3034569372
420	0.302758574
421	0.3023861247
422	0.3018627204
423	0.3015418381
424	0.3010097951
425	0.3004859527
426	0.3000267356
427	0.2994846015
428	0.299092781
429	0.2985941883
430	0.298269452
431	0.2978709037
432	0.2973951493
433	0.2967088256
434	0.2963457309
435	0.295990881
436	0.2957912763
437	0.295551478
438	0.2952837043
439	0.2946710904
440	0.2943778247
441	0.2940519151
442	0.293552708
443	0.2931455617
444	0.2924856854
445	0.2917944534
446	0.2914476213
447	0.2907422254
448	0.2904626356
449	0.2900482269
450	0.289709996
451	0.2893975695
452	0.2888925033
453	0.2885290615
454	0.2881452619
455	0.2879961422
456	0.2877551747
457	0.2873491849
458	0.2869018194
459	0.2864927976
460	0.2863012125
461	0.2860499258
462	0.2856554913
463	0.28506996
464	0.2848108343
465	0.2845706855
466	0.2840957231
467	0.2836980214
468	0.283271862
469	0.2829808601
470	0.2824558947
471	0.2821074852
472	0.2817048128
473	0.2812389512
474	0.2809898867
475	0.2806748919
476	0.2804137917
477	0.2800251055
478	0.2794863654
479	0.2790202594
480	0.2785805996
481	0.278165798
482	0.2775844885
483	0.2772814712
484	0.2769080665
485	0.2766607111
486	0.2763742441
487	0.2758903913
488	0.2754156659
489	0.2751033111
490	0.2745376388
491	0.2740750793
492	0.2737051344
493	0.2734312272
494	0.2730200297
495	0.2726984717
496	0.2723131007
497	0.2721440426
498	0.2719164976
499	0.2718390655
500	0.2715621433
501	0.2711184088
502	0.2707627067
503	0.270540708
504	0.2701899565
505	0.2698981982
506	0.2693796718
507	0.2687117828
508	0.2684021157
509	0.2682382341
510	0.2678324975
511	0.2677334269
512	0.267337348
513	0.2671452541
514	0.2668974381
515	0.2665190736
516	0.2661080533
517	0.2656548772
518	0.265337685
519	0.2649220359
520	0.2644588231
521	0.2642151906
522	0.2637996904
523	0.2636073891
524	0.2633480037
525	0.2628113133
526	0.2626204571
527	0.2621267327
528	0.2617465595
529	0.2613678193
530	0.2606783365
531	0.2602346766
532	0.259915394
533	0.2595068636
534	0.2593492552
535	0.2591183954
536	0.2589528567
537	0.2586491276
538	0.2582315742
539	0.2577286662
540	0.2574936926
541	0.2571472724
542	0.2568126605
543	0.2564233077
544	0.2561049487
545	0.2556197802
546	0.255253379
547	0.25517943
548	0.2549333876
549	0.2546088952
550	0.2540508873
551	0.2537206987
552	0.2534007203
553	0.2531305272
554	0.2526168038
555	0.2521957158
556	0.2516459674
557	0.2513892041
558	0.2509448598
559	0.2507368752
560	0.2505109042
561	0.2503590346
562	0.2498495654
563	0.2496480112
564	0.249432311
565	0.2493071446
566	0.2487208153
567	0.2484399164
568	0.248013789
569	0.2478004736
570	0.2475475629
571	0.2472406593
572	0.2470681789
573	0.2468690567
574	0.2466821398
575	0.2464638514
576	0.24624977
577	0.2459350226
578	0.2456657609
579	0.2455283199
580	0.245285216
581	0.2450683608
582	0.2447750444
583	0.2443023023
584	0.2437394482
585	0.2435883813
586	0.2432211371
587	0.2430492434
588	0.2428852303
589	0.2427327095
590	0.2425652073
591	0.2422815931
592	0.2420544543
593	0.2419503005
594	0.2413780884
595	0.2411547504
596	0.2406842588
597	0.2405197409
598	0.2402305104
599	0.2400749063
600	0.2396993578
601	0.2391524504
602	0.2386442318
603	0.238460509
604	0.2380588458
605	0.2376051663
606	0.2373414863
607	0.2370828482
608	0.2365055884
609	0.236251432
610	0.2360445421
611	0.2356372202
612	0.235364563
613	0.2348559717
614	0.2345105365
615	0.2343049667
616	0.2341327333
617	0.233867819
618	0.2332843088
619	0.2328802328
620	0.2326893455
621	0.2325722066
622	0.2323948747
623	0.2321159036
624	0.2320500383
625	0.2318550749
626	0.2316523253
627	0.2313687973
628	0.2311362813
629	0.2308510394
630	0.230500905
631	0.2300794422
632	0.2299436049
633	0.2296182437
634	0.2292894544
635	0.2291453276
636	0.2289444728
637	0.2287818206
638	0.2286251453
639	0.2283116083
640	0.2280604345
641	0.2276118194
642	0.2274159236
643	0.2270826377
644	0.2269414999
645	0.2267540664
646	0.2265230162
647	0.2264008052
648	0.2260535287
649	0.2258364519
650	0.22560699
651	0.2252861293
652	0.2250722276
653	0.2248200632
654	0.2246236659
655	0.2243714133
656	0.2241779725
657	0.224018046
658	0.2237997323
659	0.2236095151
660	0.2233056428
661	0.2230667774
662	0.2228160452
663	0.2224502567
664	0.222186214
665	0.2220050534
666	0.221771813
667	0.2214567372
668	0.2211465744
669	0.2210468889
670	0.220865942
671	0.2207473492
672	0.2204485251
673	0.2201433797
674	0.2198182827
675	0.2197243449
676	0.219482156
677	0.2193232995
678	0.2192029649
679	0.2189321357
680	0.2187791602
681	0.2186194007
682	0.2184379296
683	0.2181986714
684	0.2178697988
685	0.2176108043
686	0.2172182734
687	0.2170942982
688	0.2169324664
689	0.2167569569
690	0.2165243128
691	0.2163326033
692	0.2162698345
693	0.216145961
694	0.2159553942
695	0.215719651
696	0.215316919
697	0.2148604263
698	0.2145963597
699	0.2144801702
700	0.2141876428
701	0.2138717784
702	0.2137086899
703	0.2135478849
704	0.2133990242
705	0.2131651054
706	0.2130012185
707	0.212580591
708	0.2120779265
709	0.2119001848
710	0.2117456927
711	0.2116526048
712	0.2113613814
713	0.2110616425
714	0.210975515
715	0.2107242404
716	0.2104994704
717	0.2102947275
718	0.21012018
719	0.209920608
720	0.2096750851
721	0.2095114726
722	0.2093317632
723	0.2090787064
724	0.2088000958
725	0.2086109207
726	0.2083318733
727	0.2080971945
728	0.2079415667
729	0.2077626854
730	0.207628141
731	0.2074709467
732	0.2071908183
733	0.2069815332
734	0.2067517764
735	0.2066113983
736	0.206408522
737	0.2062928556
738	0.2060659404
739	0.2057502371
740	0.2054988145
741	0.2052553739
742	0.2048591018
743	0.2047865944
744	0.2045250958
745	0.2043213698
746	0.2040080869
747	0.2038345014
748	0.2035424611
749	0.2033310191
750	0.2031728495
751	0.2030093331
752	0.2027851149
753	0.2025874479
754	0.202384316
755	0.2021409408
756	0.2019227844
757	0.2018125113
758	0.2015551641
759	0.2013409462
760	0.2010557217
761	0.2008320854
762	0.2006693793
763	0.2002191071
764	0.2000488692
765	0.1998483586
766	0.199599524
767	0.1994235999
768	0.1990436294
769	0.1986942966
770	0.1985214516
771	0.1981867338
772	0.1978484654
773	0.1975687429
774	0.1973204398
775	0.1971028846
776	0.1969691226
777	0.1966025758
778	0.1963054479
779	0.1960729788
780	0.1959716328
781	0.1958242194
782	0.1955023184
783	0.1953154144
784	0.1952031479
785	0.1950095832
786	0.1948583165
787	0.194477552
788	0.1943165584
789	0.1941254867
790	0.1939770186
791	0.1938131897
792	0.1936654836
793	0.1935230196
794	0.1934051856
795	0.1931652916
796	0.1930295199
797	0.1928674545
798	0.192765394
799	0.1925658491
800	0.1923854081
801	0.19213177
802	0.1920048398
803	0.1917665279
804	0.1915455535
805	0.1913751131
806	0.1911272375
807	0.190931622
808	0.1908222597
809	0.1907269347
810	0.1905537158
811	0.1902462223
812	0.1900989038
813	0.1898950714
814	0.1897038252
815	0.1894828102
816	0.1892971833
817	0.1891083178
818	0.1888398566
819	0.1886747168
820	0.1884735686
821	0.1882885842
822	0.1880218345
823	0.1878901232
824	0.1877361371
825	0.1876686131
826	0.1875046289
827	0.1872511578
828	0.1871452718
829	0.1868766403
830	0.1866742891
831	0.1865227924
832	0.1863237512
833	0.1862507961
834	0.1860756068
835	0.1859225369
836	0.1856125872
837	0.1855035589
838	0.1852648978
839	0.1848505119
840	0.1845591262
841	0.1843350799
842	0.184141208
843	0.1840101993
844	0.1838141691
845	0.1836329458
846	0.1834223612
847	0.183294283
848	0.1830345965
849	0.1827934709
850	0.1826548398
851	0.1823526201
852	0.1821092372
853	0.1818475059
854	0.1817933675
855	0.1816481663
856	0.1815612143
857	0.1814217642
858	0.1812830154
859	0.1811531737
860	0.1810254668
861	0.18077349
862	0.1805703766
863	0.1804337552
864	0.1803099784
865	0.1801569599
866	0.1799861777
867	0.179798575
868	0.1795328405
869	0.1793347499
870	0.1791743721
871	0.1789420389
872	0.178810512
873	0.1785654458
874	0.178432967
875	0.1781956317
876	0.1780623426
877	0.1778533767
878	0.1776516103
879	0.1775917857
880	0.1774605073
881	0.1772534117
882	0.1770936172
883	0.1769751158
884	0.1767630275
885	0.1766302057
886	0.1764106614
887	0.1762837859
888	0.1761004949
889	0.1758705378
890	0.1755853622
891	0.1754595251
892	0.175323675
893	0.1751815809
894	0.1749898022
895	0.1748483874
896	0.1746805836
897	0.1745098349
898	0.1743672343
899	0.174263852
900	0.1740590254
901	0.1738397301
902	0.1736703987
903	0.1734055848
904	0.1732586237
905	0.1730060682
906	0.1727993845
907	0.1727063965
908	0.1724831177
909	0.1723614005
910	0.1722502855
911	0.1720039737
912	0.1717707647
913	0.1716229855
914	0.1715008358
915	0.1714077581
916	0.1713046048
917	0.1712208311
918	0.1709765094
919	0.1708572879
920	0.1706975787
921	0.1705455082
922	0.1703162403
923	0.1701930767
924	0.1701008706
925	0.1699813645
926	0.1699067855
927	0.1697880534
928	0.1696895265
929	0.1695762021
930	0.1693306243
931	0.1692085451
932	0.1690592098
933	0.1689612967
934	0.1687834606
935	0.1686073791
936	0.1684700966
937	0.1683647399
938	0.1682176603
939	0.1681508692
940	0.1680215666
941	0.1678652641
942	0.1677121901
943	0.1675581042
944	0.1673465605
945	0.1671843711
946	0.1670592974
947	0.1668487817
948	0.1667751841
949	0.1666271395
950	0.1665479813
951	0.1664843806
952	0.1663374811
953	0.1662217408
954	0.1661005807
955	0.1659730339
956	0.1657893046
957	0.1656896744
958	0.1655168187
959	0.1654125587
960	0.165311995
961	0.1651341736
962	0.1649183971
963	0.1647450892
964	0.1646028499
965	0.1644192242
966	0.1642788794
967	0.164092056
968	0.1639519737
969	0.1638419621
970	0.1637209187
971	0.163595107
972	0.1634741253
973	0.1632467807
974	0.163125517
975	0.1629853009
976	0.1628805797
977	0.1627596078
978	0.162593359
979	0.1623844695
980	0.1622682601
981	0.1621651371
982	0.1620795772
983	0.1619322583
984	0.1618000516
985	0.161618351
986	0.1615330717
987	0.1613654477
988	0.1611635299
989	0.1610008511
990	0.160863418
991	0.1606300941
992	0.1604514829
993	0.1603585603
994	0.1602071024
995	0.160104867
996	0.1599025363
997	0.1598335323
998	0.1597214392
999	0.1595623838
