iter	Logloss
0	0.683216202
1	0.674086766
2	0.6645927654
3	0.6564526477
4	0.6475793226
5	0.6397728408
6	0.6319162366
7	0.623954184
8	0.6178936936
9	0.6097737449
10	0.6025112605
11	0.5957941528
12	0.589782692
13	0.5822079589
14	0.5756608691
15	0.569350674
16	0.5637840823
17	0.55832962
18	0.5523294643
19	0.5482325376
20	0.5433899546
21	0.5393110237
22	0.5349761027
23	0.5299940734
24	0.5254091105
25	0.5204052802
26	0.5167619584
27	0.5119127153
28	0.5074319674
29	0.5035393408
30	0.5001260067
31	0.4962585548
32	0.4925243962
33	0.4886050091
34	0.4860061252
35	0.4832513437
36	0.4798512795
37	0.477259205
38	0.4743973503
39	0.4714244566
40	0.4687013928
41	0.4657758319
42	0.4630844595
43	0.4601286695
44	0.4580682496
45	0.4555228903
46	0.4529734667
47	0.4506298981
48	0.448375873
49	0.4461077332
50	0.443637866
51	0.4415841853
52	0.439749624
53	0.4378601747
54	0.4356155357
55	0.4335688213
56	0.4322657834
57	0.4306086711
58	0.4283785875
59	0.427015443
60	0.4248012728
61	0.4230335457
62	0.4212730279
63	0.4196062992
64	0.417872275
65	0.4163081298
66	0.414676398
67	0.4131520043
68	0.411939302
69	0.4099729056
70	0.4087700135
71	0.4076483878
72	0.4063891401
73	0.405232029
74	0.403884909
75	0.4025540894
76	0.4013573661
77	0.4001845137
78	0.3993375244
79	0.3983304923
80	0.3971009158
81	0.3959863837
82	0.3949917323
83	0.3941976451
84	0.393375033
85	0.392613247
86	0.391523282
87	0.3907623452
88	0.3897447417
89	0.3888425913
90	0.387875973
91	0.3869925397
92	0.3859774944
93	0.385000862
94	0.3840885719
95	0.3832507223
96	0.3826358045
97	0.3819193631
98	0.381093795
99	0.3803681276
100	0.379712088
101	0.3790437387
102	0.3782529071
103	0.3776347584
104	0.376863264
105	0.3761251551
106	0.3754383439
107	0.37470885
108	0.3740904718
109	0.3734156435
110	0.3729870578
111	0.3725290205
112	0.3716844252
113	0.3711859818
114	0.3704580299
115	0.3698120971
116	0.3692304132
117	0.3687075579
118	0.3681584299
119	0.3677973034
120	0.3674761823
121	0.3667786222
122	0.3662023359
123	0.3657190595
124	0.3649086894
125	0.3643116171
126	0.3635978121
127	0.3631965884
128	0.362651867
129	0.3623864739
130	0.3619010228
131	0.3613716885
132	0.3608971999
133	0.3604411782
134	0.3600024162
135	0.3596772192
136	0.3592916477
137	0.3586170979
138	0.3583319442
139	0.3578700186
140	0.3574147273
141	0.3569830888
142	0.3564848847
143	0.355798645
144	0.3550785199
145	0.3547111773
146	0.3543651904
147	0.3537372394
148	0.3534729861
149	0.3530601102
150	0.3526694586
151	0.3523375396
152	0.3520082293
153	0.3515363985
154	0.3511389111
155	0.3509242839
156	0.3505322095
157	0.3500916058
158	0.3498348411
159	0.3494492138
160	0.3491917638
161	0.348930218
162	0.3484557366
163	0.3481778691
164	0.3479435067
165	0.3475649001
166	0.3472700868
